Word,Frequency
century,58
france,47
lost,11
ended,8
colonial,18
ambitions,1
areas,12
historians,13
term,34
first,238
french,23
colonial,18
empire,50
colony,17
france,47
in,210
th,86
century,58
france,47
established,24
new,98
empire,50
africa,17
southeast,4
asia,7
colony,17
france,47
in,210
period,31
france,47
s,494
conquest,3
empire,50
africa,17
dressed,1
moral,3
crusade,1
colony,17
france,47
in,210
jules,1
ferry,1
declared,12
the,648
higher,10
races,4
right,19
lower,9
races,4
duty,3
civilize,1
inferior,2
races,4
colony,17
france,47
full,23
citizenship,2
rights,17
assimilation,2
offered,4
although,32
reality,4
assimilation,2
always,5
receding,1
colonial,18
populations,2
treated,2
like,23
subjects,2
citizens,7
colony,17
france,47
following,32
first,238
world,177
war,118
even,13
second,48
world,177
war,118
anticolonial,1
movements,5
began,42
challenge,2
european,24
authority,16
colony,17
france,47
france,47
unsuccessfully,2
fought,3
bitter,4
wars,7
vietnam,1
algeria,1
keep,6
empire,50
intact,1
end,27
s,494
many,394
france,47
s,494
colonies,3
gained,8
independence,9
colony,17
france,47
however,31
remaining,6
territories,13
especially,12
islands,19
archipelagos,1
integrated,2
france,47
overseas,3
departments,1
territories,13
colony,17
france,47
these,21
total,31
altogether,2
km,5
sq,4
miles,7
amounts,6
pre,31
french,23
colonial,18
empire,50
s,494
area,66
people,127
living,5
colony,17
france,47
all,10
enjoy,2
full,23
political,29
representation,1
national,80
level,15
well,63
varying,3
degrees,3
legislative,3
selfgovernance,1
colony,17
france,47
see,23
administrative,7
divisions,4
france,47
kind,33
integrity,12
enforced,8
primary,39
key,10
declared,12
in,210
computing,5
data,25
integrity,12
refers,9
maintaining,3
assuring,1
accuracy,2
consistency,1
data,25
entire,3
lifecycle,2
important,46
feature,3
database,3
rdbms,1
system,72
kind,33
integrity,12
enforced,8
primary,39
key,10
declared,12
data,25
integrity,12
means,10
data,25
contained,6
database,3
accurate,1
reliable,1
kind,33
integrity,12
enforced,8
primary,39
key,10
declared,12
data,25
warehousing,1
business,12
intelligence,4
general,33
demand,2
accuracy,2
validity,1
correctness,1
data,25
despite,13
hardware,1
failures,1
software,20
bugs,1
human,46
error,4
kind,33
integrity,12
enforced,8
primary,39
key,10
declared,12
data,25
integrity,12
identically,1
maintained,4
operation,8
transfer,4
storage,22
retrieval,2
kind,33
integrity,12
enforced,8
primary,39
key,10
declared,12
all,10
characteristics,7
data,25
including,56
business,12
rules,8
rules,8
pieces,2
data,25
relate,2
dates,4
definitions,1
lineage,1
must,12
correct,4
data,25
integrity,12
complete,3
kind,33
integrity,12
enforced,8
primary,39
key,10
declared,12
when,17
functions,13
operate,3
data,25
functions,13
must,12
ensure,2
integrity,12
kind,33
integrity,12
enforced,8
primary,39
key,10
declared,12
examples,5
include,33
transforming,1
data,25
storing,2
history,28
storing,2
metadata,1
spider,5
solitaire,4
scored,5
one,163
initial,4
layout,5
game,31
spider,5
spider,5
solitaire,4
scored,5
spider,5
type,13
patience,1
game,31
spider,5
solitaire,4
scored,5
it,146
one,163
popular,30
twodeck,1
solitaire,4
games,49
how,92
works,29
diaphragm,31
pump,24
diaphragm,31
pump,24
schematic,1
how,92
works,29
diaphragm,31
pump,24
a,111
diaphragm,31
pump,24
also,166
known,138
membrane,7
pump,24
air,34
operated,4
double,6
diaphragm,31
pump,24
aodd,1
pneumatic,1
diaphragm,31
pump,24
positive,6
displacement,3
pump,24
uses,17
combination,4
reciprocating,1
action,18
rubber,1
thermoplastic,1
teflon,1
diaphragm,31
suitable,2
valves,5
either,19
side,7
diaphragm,31
check,3
valve,4
butterfly,2
valves,5
flap,1
valves,5
form,43
shutoff,1
valves,5
pump,24
fluid,19
how,92
works,29
diaphragm,31
pump,24
there,18
three,78
main,22
types,34
diaphragm,31
pumps,1
how,92
works,29
diaphragm,31
pump,24
those,5
diaphragm,31
sealed,3
one,163
side,7
fluid,19
pumped,3
air,34
hydraulic,1
fluid,19
how,92
works,29
diaphragm,31
pump,24
the,648
diaphragm,31
flexed,2
causing,2
volume,16
pump,24
chamber,6
increase,9
decrease,3
how,92
works,29
diaphragm,31
pump,24
a,111
pair,1
nonreturn,1
check,3
valves,5
prevent,5
reverse,1
flow,1
fluid,19
how,92
works,29
diaphragm,31
pump,24
those,5
employing,3
volumetric,2
positive,6
displacement,3
prime,4
mover,1
diaphragm,31
electromechanical,1
working,8
crank,1
geared,1
motor,11
drive,10
purely,1
mechanical,3
lever,1
handle,6
how,92
works,29
diaphragm,31
pump,24
this,42
method,7
flexes,1
diaphragm,31
simple,4
mechanical,3
action,18
one,163
side,7
diaphragm,31
open,15
air,34
how,92
works,29
diaphragm,31
pump,24
those,5
employing,3
one,163
unsealed,1
diaphragms,1
fluid,19
pumped,3
sides,2
how,92
works,29
diaphragm,31
pump,24
the,648
diaphragm,31
flexed,2
causing,2
volume,16
change,11
how,92
works,29
diaphragm,31
pump,24
when,17
volume,16
chamber,6
either,19
type,13
pump,24
increased,5
diaphragm,31
moving,5
pressure,13
decreases,7
fluid,19
drawn,2
chamber,6
how,92
works,29
diaphragm,31
pump,24
when,17
chamber,6
pressure,13
later,46
increases,6
decreased,3
volume,16
diaphragm,31
moving,5
fluid,19
previously,6
drawn,2
forced,4
how,92
works,29
diaphragm,31
pump,24
finally,5
diaphragm,31
moving,5
draws,3
fluid,19
chamber,6
completing,2
cycle,3
how,92
works,29
diaphragm,31
pump,24
this,42
action,18
similar,8
cylinder,1
internal,3
combustion,1
engine,2
many,394
regions,12
human,46
brain,11
anatomical,2
regions,12
brain,11
listed,7
vertically,2
following,32
hierarchies,1
standard,16
neuroanatomy,1
many,394
regions,12
human,46
brain,11
functional,3
connective,1
developmental,1
regions,12
listed,7
horizontally,1
parentheses,1
appropriate,1
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
natchez,29
city,117
county,27
seat,3
adams,39
county,27
mississippi,31
united,176
states,222
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
with,18
total,31
population,38
according,13
census,26
largest,36
community,6
incorporated,6
municipality,4
within,28
adams,39
county,27
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
located,37
mississippi,31
river,18
miles,7
southwest,4
jackson,11
capital,33
mississippi,31
miles,7
north,56
baton,1
rouge,1
louisiana,5
eighteenthlargest,1
city,117
state,122
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
it,146
named,25
natchez,29
tribe,1
native,10
americans,19
lived,3
vicinity,1
arrival,2
europeans,4
eighteenth,1
century,58
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
established,24
french,23
colonists,1
natchez,29
one,163
oldest,10
important,46
european,24
settlements,2
lower,9
mississippi,31
river,18
valley,13
served,23
capital,33
mississippi,31
territory,8
state,122
mississippi,31
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
it,146
predates,1
jackson,11
replaced,8
natchez,29
capital,33
century,58
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
the,648
strategic,1
location,6
natchez,29
bluff,1
overlooking,1
mississippi,31
river,18
ensured,1
would,34
become,65
pivotal,1
center,22
trade,16
commerce,3
interchange,1
native,10
american,137
european,24
africanamerican,4
cultures,7
region,17
first,238
two,84
centuries,10
existence,6
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
in,210
u,1
s,494
history,28
recognized,8
particularly,11
role,24
development,19
old,36
southwest,4
first,238
half,13
nineteenth,6
century,58
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
it,146
southern,21
terminus,1
historic,8
natchez,29
trace,2
provided,5
many,394
pilots,2
flatboats,1
keelboats,1
road,8
back,15
homes,2
ohio,5
river,18
valley,13
unloading,1
cargo,3
city,117
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
today,24
natchez,29
serves,2
capacity,19
modern,26
natchez,29
trace,2
parkway,1
commemorates,1
route,3
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
in,210
middle,7
nineteenth,6
century,58
city,117
became,52
home,41
collection,5
extremely,2
wealthy,3
southern,21
planters,2
owned,10
vast,6
tracts,1
land,24
surrounding,4
lowlands,2
mississippi,31
louisiana,5
grew,4
large,37
crops,4
cotton,2
sugar,4
cane,1
using,16
slave,11
labor,10
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
natchez,29
became,52
principal,8
port,5
crops,4
exported,2
upriver,1
northern,35
cities,17
downriver,1
new,98
orleans,1
much,92
cargo,3
exported,2
europe,19
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
the,648
planters,2
fortunes,1
allowed,5
build,14
huge,2
mansions,1
natchez,29
many,394
survive,3
day,58
form,43
major,56
part,95
city,117
s,494
architecture,8
identity,2
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
agriculture,3
remained,7
primary,39
economic,18
sustenance,1
region,17
well,63
twentieth,3
century,58
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
during,18
twentieth,3
century,58
city,117
s,494
economy,8
experienced,4
downturn,1
first,238
due,17
replacement,2
steamboat,1
traffic,10
mississippi,31
river,18
railroads,1
early,38
s,494
later,46
due,17
exodus,1
many,394
local,15
industries,2
provided,5
large,37
number,50
jobs,2
area,66
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
despite,13
status,5
popular,30
tourist,2
destination,3
much,92
preserved,2
aspects,5
antebellum,1
culture,17
natchez,29
experienced,4
general,33
decline,3
population,38
since,58
how,92
far,31
quitman,17
texas,22
natchez,29
mississippi,31
it,146
remains,14
principal,8
city,117
natchez,29
ms,18
la,13
micropolitan,1
statistical,4
area,66
days,26
smackdown,18
wwe,15
smackdown,18
also,166
advertised,1
wwe,15
friday,4
night,28
smackdown,18
professional,34
wrestling,7
television,41
program,16
wwe,15
previously,6
referred,21
brand,7
name,102
discontinuation,2
wwe,15
employees,5
assigned,4
work,27
perform,6
program,16
days,26
smackdown,18
airs,2
weekly,3
syfy,2
united,176
states,222
days,26
smackdown,18
from,9
launch,2
smackdown,18
broadcast,7
thursday,1
nights,2
september,17
show,31
moved,12
friday,4
nights,2
days,26
smackdown,18
the,648
show,31
originally,15
debuted,4
united,176
states,222
upn,2
television,41
network,19
april,28
merger,1
upn,2
wb,1
smackdown,18
began,42
airing,3
the,648
cw,2
days,26
smackdown,18
the,648
show,31
remained,7
cw,2
network,19
two,84
years,62
moved,12
mynetworktv,1
october,22
days,26
smackdown,18
smackdown,18
moved,12
syfy,2
october,22
days,26
smackdown,18
since,58
first,238
episode,25
wwe,15
smackdown,18
broadcast,7
different,61
arenas,1
cities,17
towns,5
seven,15
different,61
nations,13
united,176
states,222
canada,47
united,176
kingdom,28
iraq,4
specials,2
tribute,2
troops,4
japan,13
italy,10
mexico,50
days,26
smackdown,18
due,17
time,86
differences,2
smackdown,18
premieres,2
hours,6
earlier,12
ireland,35
uk,7
day,58
earlier,12
australia,9
singapore,1
philippines,8
united,176
states,222
days,26
smackdown,18
for,29
international,23
broadcast,7
listings,1
see,23
days,26
smackdown,18
wwe,15
smackdown,18
also,166
airs,2
three,78
week,6
tape,4
delay,1
south,43
africa,17
private,10
broadcaster,1
etv,1
wednesdays,1
pm,2
many,394
episodes,26
young,9
justice,9
young,9
justice,9
american,137
animated,2
television,41
series,75
created,20
greg,1
weisman,1
brandon,1
vietti,1
cartoon,1
network,19
many,394
episodes,26
young,9
justice,9
the,648
series,75
follows,4
lives,4
teenaged,1
heroes,3
members,25
fictional,4
covert,1
operations,5
team,21
takes,8
orders,5
justice,9
league,63
many,394
episodes,26
young,9
justice,9
the,648
series,75
debuted,4
january,24
two,84
week,6
reairing,1
first,238
two,84
episodes,26
originally,15
aired,8
hour,6
long,49
special,8
november,27
many,394
police,4
car,7
used,108
making,19
dukes,3
hazzard,3
the,648
dukes,3
hazzard,3
american,137
television,41
series,75
aired,8
cbs,6
television,41
network,19
many,394
police,4
car,7
used,108
making,19
dukes,3
hazzard,3
the,648
series,75
inspired,3
film,79
moonrunners,1
also,166
created,20
gy,1
waldron,1
many,394
identical,2
similar,8
character,6
names,7
concepts,3
many,394
people,127
come,72
border,14
mexico,50
annually,10
illegal,2
immigration,23
united,176
states,222
act,38
foreign,8
nationals,3
entering,7
united,176
states,222
without,22
government,54
permission,2
violation,4
united,176
states,222
nationality,6
law,52
staying,1
beyond,5
termination,1
date,13
visa,1
also,166
violation,4
law,52
many,394
people,127
come,72
border,14
mexico,50
annually,10
a,111
warning,4
sign,16
international,23
boundary,3
united,176
states,222
canada,47
point,27
roberts,2
washington,68
many,394
people,127
come,72
border,14
mexico,50
annually,10
a,111
much,92
different,61
approach,2
usmexico,2
border,14
near,15
el,2
paso,1
texas,22
many,394
people,127
come,72
border,14
mexico,50
annually,10
the,648
undocumented,2
immigrant,1
population,38
united,176
states,222
estimated,15
center,22
immigration,23
studies,3
million,53
people,127
million,53
people,127
many,394
people,127
come,72
border,14
mexico,50
annually,10
other,12
estimates,5
range,30
million,53
many,394
people,127
come,72
border,14
mexico,50
annually,10
according,13
pew,1
hispanic,1
center,22
report,4
undocumented,2
immigrants,6
mexico,50
latin,17
american,137
countries,33
asia,7
europe,19
canada,47
africa,17
rest,10
world,177
country,86
took,36
ireland,35
ireland,35
ulsterscots,1
airlann,1
airlan,1
island,28
northwest,13
continental,7
europe,19
country,86
took,36
ireland,35
it,146
thirdlargest,1
island,28
europe,19
twentiethlargest,1
island,28
earth,103
country,86
took,36
ireland,35
to,17
east,18
larger,9
island,28
great,22
britain,10
separated,2
irish,6
sea,22
country,86
took,36
ireland,35
politically,6
ireland,35
divided,12
republic,49
ireland,35
covers,8
fivesixths,1
island,28
northern,35
ireland,35
part,95
united,176
kingdom,28
covers,8
remainder,5
located,37
northeast,1
island,28
country,86
took,36
ireland,35
the,648
population,38
ireland,35
approximately,16
million,53
country,86
took,36
ireland,35
just,26
million,53
live,18
republic,49
ireland,35
million,53
live,18
northern,35
ireland,35
country,86
took,36
ireland,35
the,648
island,28
s,494
geography,3
comprises,2
relatively,5
lowlying,1
mountains,13
surrounding,4
central,20
plain,1
several,33
navigable,1
rivers,2
extending,5
inland,11
country,86
took,36
ireland,35
the,648
island,28
lush,1
vegetation,1
product,14
mild,4
changeable,1
oceanic,3
climate,8
avoids,1
extremes,1
temperature,41
country,86
took,36
ireland,35
thick,4
woodlands,1
covered,30
island,28
th,86
century,58
country,86
took,36
ireland,35
today,24
one,163
deforested,1
areas,12
europe,19
country,86
took,36
ireland,35
there,18
twentysix,1
extant,2
mammal,1
species,15
native,10
ireland,35
country,86
took,36
ireland,35
a,111
norman,2
invasion,4
middle,7
ages,7
gave,4
way,32
gaelic,2
resurgence,1
th,86
century,58
country,86
took,36
ireland,35
over,7
sixty,1
years,62
intermittent,1
warfare,3
s,494
led,28
english,17
dominance,1
country,86
took,36
ireland,35
in,210
s,494
system,72
protestant,4
english,17
rule,16
designed,12
materially,1
disadvantage,1
catholic,8
majority,9
protestant,4
dissenters,1
extended,7
th,86
century,58
country,86
took,36
ireland,35
in,210
ireland,35
became,52
part,95
united,176
kingdom,28
country,86
took,36
ireland,35
a,111
war,118
independence,9
early,38
th,86
century,58
followed,20
partition,1
island,28
creating,13
irish,6
free,29
state,122
became,52
increasingly,3
sovereign,6
following,32
decades,10
northern,35
ireland,35
remained,7
part,95
united,176
kingdom,28
country,86
took,36
ireland,35
northern,35
ireland,35
saw,5
much,92
civil,15
unrest,1
late,27
s,494
s,494
country,86
took,36
ireland,35
this,42
subsided,1
following,32
political,29
agreement,12
country,86
took,36
ireland,35
in,210
parts,10
ireland,35
joined,13
european,24
economic,18
community,6
country,86
took,36
ireland,35
irish,6
culture,17
significant,11
influence,8
cultures,7
particularly,11
fields,2
literature,13
lesser,4
degree,18
science,8
education,19
country,86
took,36
ireland,35
alongside,5
mainstream,4
western,31
culture,17
strong,4
indigenous,1
culture,17
exists,6
expressed,8
example,19
gaelic,2
games,49
irish,6
music,32
irish,6
language,12
country,86
took,36
ireland,35
the,648
culture,17
island,28
also,166
many,394
features,7
shared,5
great,22
britain,10
expressed,8
sports,32
association,13
football,14
rugby,1
horse,2
racing,4
golf,25
well,63
english,17
language,12
what,105
happened,27
the,648
glades,7
tv,20
series,75
the,648
glades,7
a,111
e,8
network,19
drama,10
television,41
series,75
created,20
clifton,1
campbell,2
what,105
happened,27
the,648
glades,7
tv,20
series,75
the,648
onehour,2
drama,10
premiered,10
sunday,6
july,27
what,105
happened,27
the,648
glades,7
tv,20
series,75
the,648
series,75
stars,6
matt,9
passmore,1
det,1
jim,3
longworth,1
chicago,6
detective,1
took,36
south,43
florida,20
job,3
florida,20
department,9
law,52
enforcement,6
fdle,1
falsely,1
accused,2
sleeping,1
captain,20
s,494
wife,9
what,105
happened,27
the,648
glades,7
tv,20
series,75
the,648
glades,7
renewed,7
a,111
e,8
third,25
season,67
october,22
aired,8
june,26
august,16
what,105
happened,27
the,648
glades,7
tv,20
series,75
the,648
show,31
renewed,7
fourth,9
season,67
many,394
different,61
energy,24
drinks,19
sold,21
us,130
a,111
variety,14
energy,24
drinks,19
typical,6
retail,4
fridge,1
display,7
quebec,2
city,117
canada,47
many,394
different,61
energy,24
drinks,19
sold,21
us,130
an,18
energy,24
drink,6
type,13
beverage,2
containing,6
stimulant,1
drugs,5
chiefly,1
caffeine,5
marketed,4
providing,6
mental,3
physical,14
stimulation,1
many,394
different,61
energy,24
drinks,19
sold,21
us,130
there,18
myriad,1
brands,1
varieties,3
energy,24
drinks,19
many,394
different,61
energy,24
drinks,19
sold,21
us,130
they,20
generally,18
contain,8
large,37
amounts,6
caffeine,5
stimulants,2
many,394
different,61
energy,24
drinks,19
sold,21
us,130
many,394
also,166
contain,8
sugar,4
sweeteners,1
herbal,1
extracts,2
amino,1
acids,3
may,112
may,112
carbonated,1
many,394
different,61
energy,24
drinks,19
sold,21
us,130
they,20
subset,1
larger,9
group,24
energy,24
products,9
includes,16
bars,4
gels,1
many,394
different,61
energy,24
drinks,19
sold,21
us,130
coffee,1
tea,1
naturally,2
caffeinated,1
beverages,2
usually,24
considered,28
energy,24
drinks,19
many,394
different,61
energy,24
drinks,19
sold,21
us,130
soft,4
drinks,19
cola,2
may,112
contain,8
caffeine,5
also,166
energy,24
drinks,19
many,394
different,61
energy,24
drinks,19
sold,21
us,130
some,14
alcoholic,1
beverages,2
four,53
loko,1
contain,8
caffeine,5
stimulants,2
marketed,4
energy,24
drinks,19
although,32
drinks,19
banned,2
american,137
states,222
many,394
consumers,5
pharmaceuticals,6
the,648
pharmaceutical,3
industry,15
develops,3
produces,3
markets,5
drugs,5
pharmaceuticals,6
licensed,2
use,41
medications,33
many,394
consumers,5
pharmaceuticals,6
pharmaceutical,3
companies,3
allowed,5
deal,6
generic,3
andor,4
brand,7
medications,33
medical,6
devices,10
many,394
consumers,5
pharmaceuticals,6
they,20
subject,9
variety,14
laws,31
regulations,5
regarding,2
patenting,1
testing,3
ensuring,3
safety,2
efficacy,1
marketing,29
drugs,5
many,394
consumers,5
pharmaceuticals,6
the,648
word,8
pharmaceutical,3
comes,7
greek,17
word,8
pharmakeia,2
many,394
consumers,5
pharmaceuticals,6
the,648
modern,26
transliteration,2
pharmakeia,2
pharmacia,1
much,92
mercury,44
thermometer,14
closeup,1
maximum,2
thermometer,14
much,92
mercury,44
thermometer,14
the,648
break,1
column,4
mercury,44
visible,4
much,92
mercury,44
thermometer,14
the,648
mercuryinglass,1
mercury,44
thermometer,14
invented,7
german,20
physicist,1
daniel,2
gabriel,2
fahrenheit,3
much,92
mercury,44
thermometer,14
it,146
consists,11
bulb,3
containing,6
mercury,44
attached,6
glass,3
tube,4
narrow,4
diameter,3
volume,16
mercury,44
tube,4
much,92
less,10
volume,16
bulb,3
much,92
mercury,44
thermometer,14
the,648
volume,16
mercury,44
changes,14
slightly,2
temperature,41
small,15
change,11
volume,16
drives,9
narrow,4
mercury,44
column,4
relatively,5
long,49
way,32
tube,4
much,92
mercury,44
thermometer,14
the,648
space,9
mercury,44
may,112
filled,2
nitrogen,1
may,112
less,10
atmospheric,5
pressure,13
partial,3
vacuum,1
much,92
mercury,44
thermometer,14
in,210
order,16
calibrate,1
thermometer,14
bulb,3
made,59
reach,4
thermal,1
equilibrium,1
temperature,41
standard,16
icewater,1
mixture,2
another,10
standard,16
watervapour,1
tube,4
divided,12
regular,6
intervals,2
fixed,4
points,17
much,92
mercury,44
thermometer,14
in,210
principle,3
thermometers,2
made,59
different,61
material,8
eg,10
coloured,2
alcohol,4
might,10
expected,5
give,8
different,61
intermediate,2
readings,1
due,17
different,61
expansion,8
properties,3
practice,7
substances,3
used,108
chosen,7
reasonably,2
linear,10
expansion,8
characteristics,7
function,17
true,15
thermodynamic,1
temperature,41
give,8
similar,8
results,4
kind,33
company,29
microsoft,25
microsoft,25
corporation,5
american,137
multinational,2
software,20
corporation,5
headquartered,2
redmond,1
washington,68
develops,3
manufactures,1
licenses,1
supports,2
wide,19
range,30
products,9
services,10
related,38
computing,5
kind,33
company,29
microsoft,25
the,648
company,29
founded,8
bill,4
gates,1
paul,14
allen,2
april,28
kind,33
company,29
microsoft,25
microsoft,25
world,177
s,494
largest,36
software,20
maker,1
measured,2
revenues,1
kind,33
company,29
microsoft,25
it,146
also,166
one,163
world,177
s,494
valuable,5
companies,3
kind,33
company,29
microsoft,25
microsoft,25
established,24
develop,2
sell,5
basic,5
interpreters,1
altair,1
kind,33
company,29
microsoft,25
it,146
rose,5
dominate,1
personal,9
computer,13
operating,5
system,72
market,10
msdos,1
mids,4
followed,20
microsoft,25
windows,4
line,18
operating,5
systems,20
kind,33
company,29
microsoft,25
the,648
company,29
s,494
initial,4
public,48
offering,3
subsequent,7
rise,7
share,8
price,4
created,20
estimated,15
three,78
billionaires,1
millionaires,1
microsoft,25
employees,5
kind,33
company,29
microsoft,25
since,58
s,494
increasingly,3
diversified,1
operating,5
system,72
market,10
made,59
number,50
corporate,3
acquisitions,1
kind,33
company,29
microsoft,25
in,210
may,112
microsoft,25
acquired,6
skype,1
technologies,2
billion,14
largest,36
acquisition,2
date,13
kind,33
company,29
microsoft,25
as,38
microsoft,25
market,10
dominant,4
pc,3
operating,5
system,72
office,16
suite,1
markets,5
latter,6
microsoft,25
office,16
kind,33
company,29
microsoft,25
the,648
company,29
also,166
produces,3
wide,19
range,30
software,20
desktops,1
servers,2
active,11
areas,12
including,56
internet,4
search,2
bing,1
video,23
game,31
industry,15
xbox,23
xbox,23
consoles,3
digital,2
services,10
market,10
msn,1
mobile,12
phones,2
via,12
windows,4
phone,7
os,12
kind,33
company,29
microsoft,25
in,210
june,26
microsoft,25
announced,11
would,34
entering,7
pc,3
vendor,1
market,10
first,238
time,86
launch,2
microsoft,25
surface,29
tablet,1
computer,13
kind,33
company,29
microsoft,25
in,210
s,494
critics,9
began,42
contend,1
microsoft,25
used,108
monopolistic,1
business,12
practices,4
anticompetitive,1
strategies,1
including,56
refusal,1
deal,6
tying,1
put,5
unreasonable,1
restrictions,2
use,41
software,20
used,108
misrepresentative,1
marketing,29
tactics,1
us,130
department,9
justice,9
european,24
commission,5
found,47
company,29
violation,4
antitrust,1
laws,31
many,394
kids,34
erykah,9
badu,10
erica,1
abi,1
wright,4
born,66
february,15
better,12
known,138
stage,19
name,102
erykah,9
badu,10
grammy,15
award,28
winning,12
american,137
singersongwriter,4
record,32
producer,8
activist,1
actress,16
many,394
kids,34
erykah,9
badu,10
her,5
work,27
includes,16
elements,8
r,7
b,6
hip,3
hop,3
jazz,4
many,394
kids,34
erykah,9
badu,10
she,16
best,30
known,138
role,24
rise,7
neo,1
soul,2
subgenre,1
many,394
kids,34
erykah,9
badu,10
she,16
known,138
first,238
lady,1
neosoul,2
queen,8
neosoul,2
many,394
kids,34
erykah,9
badu,10
early,38
career,24
badu,10
recognizable,3
wearing,1
large,37
colorful,1
headwraps,1
many,394
kids,34
erykah,9
badu,10
for,29
musical,10
sensibilities,1
often,42
compared,3
jazz,4
great,22
billie,1
holiday,2
many,394
kids,34
erykah,9
badu,10
she,16
core,5
member,18
soulquarians,1
also,166
actress,16
appeared,8
number,50
films,15
playing,6
range,30
supporting,6
roles,17
movies,9
blues,5
brothers,15
the,648
cider,1
house,15
rules,8
house,15
d,14
many,394
kids,34
erykah,9
badu,10
she,16
also,166
speaks,2
length,11
documentaries,2
before,1
music,32
dies,1
the,648
black,10
power,46
mixtapes,1
area,66
code,31
the,648
map,5
right,19
clickable,1
click,3
area,66
code,31
go,71
page,7
area,66
code,31
area,66
code,31
the,648
area,66
code,31
red,23
area,66
code,31
others,14
blue,8
california,20
area,66
codes,16
area,66
code,31
area,66
code,31
area,66
code,31
california,20
contained,6
mostly,8
within,28
south,43
orange,4
county,27
area,66
code,31
it,146
also,166
includes,16
small,15
adjacent,2
area,66
northwest,13
san,13
diego,2
county,27
specifically,5
parts,10
marine,3
corps,2
base,15
camp,3
pendleton,1
san,13
onofre,1
state,122
park,15
area,66
code,31
on,24
april,28
southern,21
cities,17
orange,4
county,27
split,7
creating,13
area,66
code,31
area,66
code,31
it,146
includes,16
wealthiest,1
communities,2
united,176
states,222
including,56
cities,17
newport,3
beach,4
irvine,3
lake,8
forest,3
portola,1
hills,5
coto,1
de,11
caza,1
dove,1
canyon,2
aliso,1
viejo,2
trabuco,1
canyon,2
capistrano,2
beach,4
corona,1
del,3
mar,3
laguna,4
niguel,1
laguna,4
hills,5
laguna,4
woods,26
newport,3
coast,8
foothill,1
ranch,4
robinson,2
ranch,4
mission,5
viejo,2
san,13
juan,1
capistrano,2
rancho,1
santa,4
margarita,1
ladera,1
ranch,4
dana,1
point,27
laguna,4
beach,4
san,13
clemente,1
area,66
code,31
costa,22
mesa,1
shared,5
area,66
codes,16
split,7
wilson,1
street,8
along,23
newport,3
boulevard,1
area,66
code,31
a,111
small,15
portion,6
irvine,3
also,166
area,66
code,31
north,56
side,7
culver,1
drive,10
i,44
jamboree,1
road,8
marketplace,1
neighborhood,4
northpark,1
irvine,3
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
walter,18
francis,2
omalley,8
october,22
august,16
american,137
sports,32
executive,7
owned,10
brooklynlos,1
angeles,4
dodgers,10
team,21
major,56
league,63
baseball,39
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
he,98
served,23
brooklyn,10
dodgers,10
chief,11
legal,14
counsel,2
jackie,1
robinson,2
broke,1
racial,1
color,62
barrier,2
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
in,210
owner,8
dodgers,10
brought,9
major,56
league,63
baseball,39
west,29
coast,8
moving,5
dodgers,10
brooklyn,10
los,3
angeles,4
coordinating,1
move,6
new,98
york,31
giants,2
san,13
francisco,5
time,86
teams,35
west,29
kansas,1
city,117
missouri,3
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
for,29
long,49
vilified,1
brooklyn,10
dodgers,10
fans,3
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
however,31
neutral,4
parties,10
describe,4
visionary,2
business,12
action,18
many,394
authorities,3
cite,1
one,163
influential,5
sportsmen,1
th,86
century,58
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
his,24
detractors,1
say,3
visionary,2
instead,4
man,7
right,19
place,36
right,19
time,86
still,18
regard,2
powerful,8
influential,5
owner,8
baseball,39
moving,5
team,21
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
he,98
elected,13
national,80
baseball,39
hall,8
fame,11
contributions,5
influence,8
game,31
baseball,39
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
omalley,8
s,494
irish,6
father,23
edwin,1
joseph,3
omalley,8
politically,6
connected,3
many,394
baseball,39
clubs,16
walter,18
malley,15
buy,16
walter,18
university,21
pennsylvania,9
salutatorian,1
went,6
obtain,3
juris,2
doctorate,1
used,108
combination,4
family,31
connections,2
personal,9
